,micro_SV,micro_SV,micro_VS,micro_VS
text_richness,lexical_richness,semantic_richness,lexical_richness,semantic_richness
film_id,,,,
1070101,31.50000000000001,0.26437604427337646,49.53362944162437,0.573601245880127
1070102,35.84,0.5589855313301086,94.64000000000001,0.5791360139846802
1070103,,0.78748619556427,47.64795419052578,0.5444932579994202
1070105,23.660000000000004,0.5327165126800537,89.69333333333331,0.5977820158004761
1070106,30.240000000000013,0.2663840055465698,108.29777777777775,0.678869366645813
1070107,,,82.89473684210529,0.6583040952682495
1070109,13.970000000000002,,151.62000000000003,0.8203660845756531
1070110,,,38.115,0.6084573864936829
1070111,14.000000000000004,,91.97263157894739,0.5196706652641296
1070112,,,39.24666666666668,0.45852842926979065
1070113,,,80.63999999999997,0.6168437600135803
1070114,,0.36282628774642944,,0.5849147439002991
1070115,20.72,0.18251389265060425,92.61000000000001,0.5828651189804077
1070116,16.940000000000005,,49.28,0.657143771648407
1080101,26.159999999999993,,47.78666666666667,0.36022114753723145
1080102,14.000000000000004,,94.64000000000001,0.7349205613136292
1080103,,,67.27000000000001,0.5155344605445862
1080104,,,12.0,
1080105,,,56.980000000000004,0.47049009799957275
1080106,,,66.20727272727274,0.7168664932250977
1080107,,,79.82545454545456,0.5938370227813721
1080108,,,60.480000000000025,0.6484107971191406
1080109,,,54.87999999999999,0.6098111271858215
1080110,28.000000000000007,,84.00000000000003,0.6129299998283386
1080111,21.000000000000007,0.766613781452179,162.44666666666677,0.66590815782547
1080112,,,32.256,0.6182422041893005
1080113,28.000000000000007,,113.39999999999996,0.616295576095581
1080114,54.88000000000004,0.37036073207855225,101.63999999999999,0.570243775844574
1080201,,,46.239999999999995,0.6368541121482849
1080202,23.893333333333334,0.4465891122817993,67.75999999999999,0.33505094051361084
1080203,30.240000000000013,0.43801093101501465,73.96000000000002,0.7254141569137573
1080301,71.68,0.5416799783706665,95.83,0.6617987751960754
1080302,26.880000000000003,0.5250895023345947,135.52000000000015,0.5537000894546509
1080303,27.439999999999994,0.7172693014144897,51.84000000000001,0.7089118957519531
1080304,33.69333333333333,0.4003411531448364,152.46000000000015,0.5289261341094971
1080305,,,74.66666666666667,0.6208179593086243
1080306,,,123.47999999999988,0.4482452869415283
1080307,,0.6973139047622681,57.524444444444434,0.6453384160995483
1080308,,,,0.5969400405883789
1080401,57.34400000000001,0.37029561400413513,73.96000000000002,0.610169529914856
1080402,36.52777777777777,0.6616488099098206,51.54333333333333,0.7023181915283203
1080403,25.270000000000007,0.5171955823898315,34.923,0.5966121554374695
1080404,23.893333333333334,0.943634033203125,58.64727272727274,0.7465146780014038
1080405,,0.7866074442863464,171.49999999999994,0.7231763005256653
1080406,16.940000000000005,,101.08000000000003,0.56730717420578
1080407,40.459999999999994,0.7144040465354919,56.06179775280899,0.6879212260246277
1080408,63.00000000000002,0.5530698299407959,77.77777777777776,0.5867267847061157
1080409,,,81.00000000000001,0.6957880854606628
1080410,,0.6361151933670044,88.36000000000001,0.7550134658813477
1080411,,0.6121591329574585,57.524444444444434,0.6818691492080688
1080412,,0.3416518568992615,107.89333333333332,0.44644609093666077
1080413,74.05999999999996,0.4550739824771881,135.51999999999998,0.6954771280288696
1080414,,0.785710871219635,76.66400000000004,0.7190220952033997
1080415,32.0,0.6791422367095947,117.73999999999997,0.6582671999931335
1080416,80.91999999999999,0.6119682192802429,,0.6749970316886902
1080417,63.00000000000002,0.5502058267593384,70.87499999999999,0.6671732664108276
1080418,,0.6094717383384705,174.9999999999999,0.5277361273765564
1080419,74.05999999999996,0.8042551875114441,67.38666666666666,0.6204509139060974
1080420,20.713853658536586,0.41137588024139404,95.83,0.7459571361541748
1080421,63.09333333333332,0.6383423209190369,155.55555555555551,0.7378596663475037
1080422,,0.6327861547470093,107.89333333333332,0.5391988158226013
1080423,80.91999999999999,0.7543907165527344,71.31490384615384,0.6737091541290283
1090101,,,40.96000000000001,0.5064234733581543
1090102,18.293333333333333,0.2884840965270996,54.12,0.6619176268577576
1090103,23.893333333333334,0.42066502571105957,84.70000000000003,0.7316069006919861
1090104,70.00000000000001,0.7146275639533997,59.609760394644105,0.6143943667411804
1090105,,0.44070374965667725,111.99999999999991,0.5249015688896179
1090106,63.00000000000002,0.5732177495956421,63.09333333333332,0.6078324913978577
1090107,78.49333333333335,0.8173665404319763,58.86999999999998,0.5868785977363586
1090109,50.54000000000001,0.3508514165878296,60.480000000000025,0.6756100058555603
1090110,111.99999999999991,0.5187519788742065,149.33333333333343,0.6252735257148743
1090111,54.57269578953763,0.7309561371803284,67.38666666666666,0.656764805316925
1090112,44.84666666666666,0.47744372487068176,74.06,0.4654538631439209
1090113,94.13600000000001,0.7522055506706238,47.096,0.6820065379142761
1090114,58.86999999999998,0.4505232870578766,,0.6033985018730164
1090115,73.96000000000002,0.4299670159816742,154.63,0.5835191011428833
1100101,252.00000000000009,0.4899853467941284,57.34400000000001,0.6654013991355896
1100102,49.77777777777779,0.6205722689628601,47.78666666666667,0.6754596829414368
1100103,37.85600000000001,0.4821668863296509,67.75999999999999,0.6592510938644409
1100104,31.32,0.4911312162876129,63.09333333333332,0.5269091129302979
1100105,61.74000000000001,0.49849358201026917,181.43999999999994,0.49355974793434143
1100106,40.82399999999999,0.5385384559631348,90.97200000000002,0.7770015001296997
1100107,68.82909090909091,0.6239153146743774,43.903999999999996,0.5740206837654114
1100108,47.096,0.7012519240379333,83.664694092827,0.6176720261573792
1100109,89.60000000000001,0.6162018775939941,85.74999999999997,0.6683773398399353
1100110,53.760000000000005,0.6054016947746277,60.231111111111105,0.624181866645813
1100111,98.74666666666666,0.7764431238174438,75.71200000000002,0.6723824143409729
1100112,53.94666666666666,0.6926178336143494,94.13600000000001,0.6976428627967834
1100114,56.000000000000014,0.517092764377594,48.27272727272727,0.5637721419334412
1100115,50.54000000000001,0.7476922869682312,80.91999999999999,0.5999371409416199
1100116,53.23499999999999,0.4905015528202057,88.2175,0.7124322056770325
1100117,68.59999999999998,0.527639627456665,59.38059701492538,0.6714648008346558
1100118,111.99999999999991,0.8405760526657104,81.00000000000001,0.6957573294639587
1100119,,0.7048085331916809,38.02632109721662,0.6446629762649536
1110201,67.75999999999999,0.38026314973831177,58.33333333333334,0.6777424812316895
1110202,84.00000000000003,0.7318980097770691,130.23499999999999,0.5639356970787048
1110203,117.67000000000004,0.7253194451332092,98.96320000000001,0.6866999268531799
1110204,54.76000000000002,0.4610876739025116,151.62000000000003,0.62153559923172
1110205,75.71200000000002,0.69312983751297,189.28000000000014,0.5792250037193298
1110206,63.88666666666667,0.6068168878555298,120.55750000000005,0.676143229007721
1110207,85.74999999999997,0.6159624457359314,141.16666666666663,0.5826013684272766
1110208,51.77200000000001,0.6830081343650818,135.8147368421053,0.6274322271347046
1110209,70.87499999999999,0.6997032761573792,110.894,0.6550157070159912
1110210,123.47999999999998,0.6989077925682068,105.41176470588236,0.5482965111732483
1110211,71.68,0.7413163185119629,134.45600000000002,0.7041087746620178
1110212,113.715,0.5938196778297424,95.13411764705882,0.690803587436676
1110213,46.32954545454545,0.5937384963035583,80.64,0.5398468971252441
1110214,98.78399999999999,0.6792371273040771,56.714923653125894,0.5819828510284424
1110215,62.99999999999999,0.6085073351860046,135.51999999999998,0.680726170539856
1110216,69.45750000000001,0.6609713435173035,181.9439999999999,0.7638710141181946
1110217,89.77999999999999,0.6208187937736511,277.83000000000004,0.6666315197944641
1110218,73.803,0.7456607818603516,90.72000000000001,0.6868272423744202
1110219,67.27000000000001,0.4854949712753296,103.54400000000003,0.6259526610374451
1110220,73.0,0.6291141510009766,84.12061403508773,0.6192977428436279
1110221,75.71200000000002,0.7224408388137817,78.75,0.5525344014167786
1110222,148.84,0.7350174188613892,128.05333333333334,0.7090442180633545
1110223,60.50153846153848,0.5479080080986023,112.0,0.6103544235229492
1110224,98.31500000000003,0.6090277433395386,116.64,0.7011098861694336
1110225,58.83500000000002,0.7340933680534363,80.64000000000003,0.5618812441825867
1110226,58.64727272727274,0.6928483843803406,71.75466666666667,0.5988187789916992
1110227,80.86400000000003,0.6735548973083496,71.5018181818182,0.5805849432945251
1110228,102.06,0.6933104991912842,102.06,0.6963433623313904
1110229,120.95999999999995,0.4872342348098755,128.31636363636363,0.6185636520385742
1110230,45.17333333333334,0.7676548361778259,92.16,0.6291983127593994
1110301,90.72000000000004,0.6878724694252014,84.03500000000003,0.6133209466934204
1110302,53.760000000000005,0.6567783951759338,124.34333333333336,0.5758970975875854
1110303,94.64000000000007,0.8594956994056702,67.24,0.6600849032402039
1110304,78.49333333333335,0.686614990234375,141.9600000000001,0.6212093234062195
1110305,53.94666666666666,0.49128666520118713,71.68,0.6011174321174622
1110306,67.5446153846154,0.6004995107650757,84.12444444444442,0.5947211384773254
1110307,49.0,0.5411391854286194,116.64,0.7493054270744324
1110308,71.68,0.6439874172210693,158.86181818181825,0.7119088768959045
1110309,109.76000000000008,0.7186379432678223,212.93999999999986,0.5715545415878296
1110310,117.73999999999997,0.6604039072990417,75.81000000000002,0.6229899525642395
1110311,49.77777777777779,0.633467435836792,104.65777777777781,0.685908317565918
1110312,66.20727272727274,0.7569006085395813,116.21647058823534,0.606435239315033
1110313,67.38666666666666,0.49879491329193115,116.64,0.7194052338600159
1110314,53.81600000000002,0.6701297760009766,77.44000000000003,0.7258263826370239
1110315,53.81600000000002,0.5954499840736389,168.07000000000005,0.575677752494812
