,lexical_richness,lexical_richness,lexical_richness,lexical_richness,semantic_richness,semantic_richness,semantic_richness,semantic_richness
,Analistas,Autores,IA,Pares,Analistas,Autores,IA,Pares
film_id,,,,,,,,
1070101,57.128005198180645,75.71200000000002,114.25702121293114,78.4932883622894,0.5443025827407837,0.672576367855072,0.7062549591064453,0.5670268535614014
1070102,107.89333333333332,54.9859943977591,89.81661837051014,58.84343434343434,0.5651351809501648,0.6389713883399963,0.6977977156639099,0.5688382387161255
1070103,57.37906137184115,49.402686961803695,99.09091323064894,28.18840579710145,0.566595733165741,0.6174577474594116,0.6997626423835754,0.5385871529579163
1070105,67.76000000000002,51.80913626285023,89.23450881612091,112.04666666666665,0.5629377365112305,0.618632435798645,0.7033044099807739,0.6708703637123108
1070106,87.37473684210528,53.04166666666667,99.87332719459792,31.779789566584384,0.618496298789978,0.45723575353622437,0.7288447618484497,0.4184686839580536
1070107,61.989600143446296,39.541603034632246,111.62877883850437,49.00806451612903,0.6520079374313354,0.6465762257575989,0.7349894046783447,0.5653836727142334
1070109,99.59384615384617,39.853448275862064,94.45069637883009,44.14359062351513,0.770684003829956,0.6431854963302612,0.7311686873435974,0.6679261326789856
1070110,31.262411347517734,63.09333333333332,79.97566889632108,42.974077940153094,0.5020929574966431,0.5643690228462219,0.6930360198020935,0.5117637515068054
1070111,73.02154398563735,21.209040302233376,97.03436956101334,57.78440366972477,0.5022556185722351,0.5733870267868042,0.7267545461654663,0.5311719179153442
1070112,36.144000000000005,15.375,101.074505545488,57.785472188290356,0.583110511302948,0.6205625534057617,0.6872060894966125,0.6455991268157959
1070113,107.89333333333332,31.7483713994192,95.50153324045314,79.63043478260869,0.5305774211883545,0.4767359495162964,0.6985448598861694,0.5198698043823242
1070114,76.23,61.00961538461539,81.43630251362278,41.329005824859316,0.4900999367237091,0.5905671715736389,0.695706844329834,0.5894992351531982
1070115,97.65411764705885,51.0,101.00701062547924,69.17504385464696,0.5792616605758667,0.5782900452613831,0.6844844222068787,0.5498836040496826
1070116,55.0,,107.41175715903876,,0.5875770449638367,,0.701105535030365,
1080101,49.28,52.20562726906011,104.73128366247755,48.36570247933884,0.374270498752594,0.511658787727356,0.7147734761238098,0.5675983428955078
1080102,76.88000000000001,90.12583678479895,102.91924131627056,123.5694516267765,0.7246173024177551,0.664903998374939,0.7204524874687195,0.6567375659942627
1080103,74.66666666666667,53.23499999999999,82.43632166217776,55.58653846153846,0.5794990062713623,0.543140709400177,0.7168105244636536,0.5999764800071716
1080104,11.103982300884956,74.6977777777778,90.91178735505237,75.74468085106383,0.10877013206481934,0.6942378878593445,0.7113090753555298,0.5689613223075867
1080105,40.93307086614173,108.70726769879965,92.24165036065223,94.49359064656994,0.4644453525543213,0.6891487836837769,0.739310622215271,0.5952258110046387
1080106,64.97866666666667,70.37036339672379,93.88374549682831,41.01071438549437,0.7092575430870056,0.594298779964447,0.7096664309501648,0.6607961058616638
1080107,88.22153846153847,63.06860507246377,79.5353866317169,101.9836653338472,0.6352202296257019,0.6179739832878113,0.7070126533508301,0.6249243021011353
1080108,44.58666666666667,58.29398916652106,92.25650057858553,38.62089434111594,0.6065328121185303,0.499856173992157,0.7282049655914307,0.5455042123794556
1080109,50.54000000000001,97.19230769230772,107.82684206178754,112.04666666666665,0.5255772471427917,0.6192023754119873,0.712063729763031,0.6761341691017151
1080110,33.827160493827165,38.42161016949152,94.7397177823848,88.87200000000003,0.5748240351676941,0.6224190592765808,0.723089873790741,0.6192757487297058
1080111,90.1929411764706,58.731308411214954,111.89118972294125,48.845679012345684,0.6418551206588745,0.5921330451965332,0.7207862734794617,0.4701162874698639
1080112,33.0,53.875117961623154,99.11824239376415,74.36291535621496,0.5322123169898987,0.49411746859550476,0.6880828142166138,0.6405996084213257
1080113,94.1111111111111,121.76282051282053,102.8428032753599,81.18918709277071,0.602652907371521,0.6638202667236328,0.7036479115486145,0.6096412539482117
1080114,68.72444444444443,18.333333333333332,89.3913043478261,65.35514018691589,0.4644745886325836,0.47306209802627563,0.7187439203262329,0.6108279824256897
1080201,59.24800000000001,42.27639296187684,121.59287734822658,42.991192616927464,0.6155344843864441,0.7655991315841675,0.7490247488021851,0.745696485042572
1080202,44.924444444444454,75.71200000000002,129.9596120640037,33.2,0.5259387493133545,0.7638780474662781,0.7532376646995544,0.7224469184875488
1080203,61.14352941176472,22.955298013245034,100.99858138159694,36.09423676012461,0.618249237537384,0.5986019968986511,0.737450897693634,0.6199868321418762
1080301,71.5018181818182,24.647185287210185,154.96077981346212,36.654205607476634,0.546678900718689,0.4580615758895874,0.7339494228363037,0.6203818917274475
1080302,49.28097674418605,28.13089209193611,143.07142857142858,31.934755808440016,0.49424466490745544,0.33222851157188416,0.7233291268348694,0.4488506019115448
1080303,50.0,30.536107711138314,123.9981255352752,53.652482269503544,0.6336747407913208,0.4990229606628418,0.726395308971405,0.5807222723960876
1080304,84.12444444444442,87.26351351351352,138.93229166666669,42.33810851926978,0.4862886071205139,0.610159695148468,0.7329133152961731,0.603463351726532
1080305,64.512,15.121951219512194,131.70022456514292,83.3175,0.634341299533844,0.16158080101013184,0.7181882858276367,0.5547415018081665
1080306,37.462773722627745,59.12421052631579,112.24,40.04771417275319,0.32685229182243347,0.48456937074661255,0.6938668489456177,0.49902066588401794
